Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2019;11.560
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2018;10.927
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2017;10.357
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2016;9.912
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2015;9.692
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2023;36.602
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2022;34.212
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2021;32.506
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2020;30.887
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2019;30.647
